,cumOOI_index,kepid,prob0,prob1
2062,8081,4939265,0.0708594451150997,0.9291405548849007
1510,6411,7770901,0.07127942248086595,0.9287205775191342
220,1440,5080636,0.0733235308241589,0.9266764691758411
745,3646,4458082,0.0738504388054755,0.9261495611945246
1256,5302,9489524,0.07388971811290893,0.9261102818870914
1222,5060,7517261,0.07671201205442153,0.9232879879455785
739,3618,4548098,0.07815802549118062,0.9218419745088192
746,3648,11967788,0.07882072715954597,0.921179272840454
1185,4957,7869917,0.0789244625193339,0.9210755374806661
1158,4853,6947668,0.080481098101707,0.9195189018982931
713,3454,4832837,0.08403918969664692,0.9159608103033533
1792,6951,9093086,0.08511918237935799,0.9148808176206422
1172,4916,3561464,0.08619161870101648,0.9138083812989837
1445,6225,5094412,0.08625750212544267,0.9137424978745576
738,3616,5881120,0.08638851706161096,0.9136114829383892
982,4339,6144039,0.08777182239148856,0.9122281776085113
1208,5029,7289338,0.09294494567123607,0.9070550543287635
360,1976,11752906,0.09388489181434466,0.9061151081856551
1140,4776,11657614,0.09496805568948533,0.9050319443105146
749,3657,5942808,0.09594434815128265,0.9040556518487173
52,466,6359320,0.09702222293165973,0.9029777770683406
2179,8533,2854181,0.09761367946615332,0.9023863205338469
1251,5254,9489524,0.09767609792718185,0.902323902072818
1168,4896,9967009,0.09861118290509842,0.9013888170949013
636,2975,10189546,0.09898139528722963,0.9010186047127704
1214,5039,9474756,0.09949027707460462,0.9005097229253956
678,3284,11135694,0.10060555748911908,0.8993944425108812
2128,8319,10397751,0.10080110208260457,0.8991988979173954
1839,7090,4736569,0.10196224654966539,0.8980377534503345
552,2691,8008067,0.10271356801063697,0.8972864319893631
658,3147,6779260,0.10443958510196534,0.8955604148980347
179,1245,5542466,0.10476597115107716,0.8952340288489223
1827,7045,5769810,0.10923990837778229,0.8907600916222177
1057,4539,8331612,0.10967928673044305,0.8903207132695568
2321,9170,7463685,0.1126332051439419,0.8873667948560581
122,983,7376983,0.11405765391622197,0.8859423460837781
773,3764,5308537,0.11483647134957838,0.8851635286504211
2417,9536,12885212,0.11489089449247723,0.8851091055075231
1879,7231,4665571,0.11683346887581728,0.8831665311241825
790,3826,12016267,0.11726040155713707,0.8827395984428628
1814,7014,9655711,0.11795606781919407,0.8820439321808061
1578,6567,9011877,0.11889988403340075,0.8811001159665993
1019,4449,8397947,0.11956849657843453,0.8804315034215651
259,1629,4851530,0.12120205478954223,0.8787979452104575
1159,4857,10290666,0.12188329078360507,0.8781167092163952
1791,6950,5956656,0.12206229141461777,0.8779377085853828
264,1651,5942808,0.1220625939220542,0.8779374060779459
1004,4413,3223433,0.12241438673044197,0.8775856132695581
979,4332,7833305,0.12267485555286109,0.8773251444471392
812,3912,9702006,0.12367031908637732,0.876329680913623
1238,5166,9973109,0.12614922883087673,0.8738507711691237
970,4315,5003670,0.12637227799551828,0.8736277220044819
853,4023,5785279,0.12886769400822562,0.8711323059917748
278,1720,8013439,0.12971106378452152,0.8702889362154782
1029,4467,4277304,0.1318528018851677,0.868147198114833
119,966,7376983,0.13251860625507578,0.8674813937449243
105,852,4077526,0.13488606712197077,0.8651139328780293
768,3750,9086154,0.13496604416466085,0.8650339558353392
877,4105,4141593,0.13567815414253695,0.8643218458574634
1305,5716,9904006,0.13737561131507614,0.8626243886849236
2196,8590,9674320,0.13851142100058295,0.8614885789994179
1841,7095,9008103,0.1387655392468975,0.8612344607531023
803,3874,11124436,0.14220495983851647,0.8577950401614832
654,3110,9958962,0.14283199400701163,0.857168005992988
2184,8545,8278685,0.143010594372696,0.8569894056273042
2139,8356,8973285,0.14347779932390547,0.8565222006760947
408,2149,5942949,0.1466279123838002,0.8533720876162003
202,1354,9634821,0.14662820757458725,0.8533717924254124
1169,4897,9967009,0.14669398037134496,0.8533060196286552
1806,6988,5177859,0.14708935448820662,0.8529106455117939
791,3829,3550372,0.14762134506909827,0.8523786549309019
1000,4406,6276791,0.1484225950723641,0.8515774049276362
1215,5051,5308663,0.1484925019624855,0.8515074980375148
2365,9319,8608544,0.14900018738845103,0.8509998126115496
621,2927,10000941,0.1493645067152646,0.8506354932847358
656,3131,5544450,0.15024747625655155,0.8497525237434489
683,3308,3758499,0.15050986244509926,0.8494901375549013
1452,6243,3758499,0.15126247532038994,0.8487375246796104
1319,5849,9634821,0.1517808624161296,0.84821913758387
1016,4442,8301878,0.1524751330058296,0.8475248669941707
176,1242,5542466,0.15490424106211675,0.8450957589378829
123,984,7376983,0.15555445273265267,0.8444455472673472
1780,6919,8158127,0.15661308782838382,0.8433869121716164
762,3731,9700449,0.15668296768114373,0.8433170323188558
1058,4540,8874090,0.15678164060148395,0.8432183593985159
1103,4664,8280511,0.15691794695571243,0.843082053044288
1859,7164,11566064,0.15740821046529385,0.8425917895347064
1835,7078,10964440,0.15801907799720397,0.8419809220027965
1776,6910,9947653,0.15956476983651444,0.8404352301634859
2391,9435,10397751,0.16003618061090014,0.8399638193890999
129,1009,9836959,0.1601790751018806,0.8398209248981194
2410,9505,8613535,0.16047756681735656,0.8395224331826434
958,4290,4141593,0.16161468529280165,0.8383853147071987
1906,7313,7289338,0.16211497454068777,0.837885025459313
203,1355,9634821,0.16318575823174444,0.8368142417682556
124,985,7376983,0.16389981422813255,0.8361001857718675
2165,8489,9958962,0.16396714563020168,0.8360328543697981
1450,6241,11360805,0.16547911062989765,0.8345208893701026
1253,5264,12301181,0.1657808556663597,0.8342191443336406
788,3812,1724719,0.1666484526998668,0.8333515473001338
986,4346,6197344,0.1668125373245746,0.8331874626754255
1869,7203,7663405,0.16763002600411575,0.8323699739958846
648,3071,6268648,0.16791992230990338,0.8320800776900968
1911,7331,5531953,0.1685034326305941,0.8314965673694065
608,2877,7609553,0.1687113149784538,0.8312886850215466
701,3380,10843431,0.1691181142942867,0.8308818857057136
914,4189,8332521,0.16962800504090242,0.8303719949590982
649,3077,8212002,0.17101309155078542,0.8289869084492147
634,2972,4548011,0.17150803323606156,0.8284919667639389
939,4243,4902202,0.1717588154496792,0.8282411845503209
641,3012,8121310,0.1717601831321856,0.8282398168678146
389,2070,11771430,0.17259514537010406,0.8274048546298954
178,1244,5542466,0.17328131491859097,0.8267186850814089
234,1504,4157325,0.17419005378830807,0.8258099462116921
868,4067,8890924,0.17420411261016774,0.8257958873898326
2347,9257,7841925,0.17655736263720048,0.8234426373628
1777,6911,6527078,0.17712885804421238,0.8228711419557881
1037,4483,8054719,0.17855080510194504,0.8214491948980553
673,3255,7906892,0.1796315304993053,0.820368469500695
847,4006,7901016,0.17967873424026656,0.8203212657597335
1844,7121,11968463,0.18195267219886532,0.8180473278011349
932,4228,8493354,0.1820753199846877,0.8179246800153122
2085,8167,8283875,0.18243004463748458,0.8175699553625152
1898,7274,7983117,0.18246373951696057,0.8175362604830394
1087,4619,8280511,0.1827143772734923,0.8172856227265077
1547,6492,10658177,0.18332531998468773,0.8166746800153122
897,4154,5954001,0.18388414677260412,0.8161158532273959
987,4347,11357664,0.1845104510862783,0.8154895489137212
2285,8980,2834805,0.18457300087522577,0.815426999124774
